School,other_names,State,join_id,operation_dates,religions_identified,tribes_identified,deaths_documented_by_post,deaths_documented_by_govt,grave_sites_found_by_post,grave_sites_found_by_govt
Pyramid Lake Boarding and Day School,Pyramid Lake Sanatorium; Nevada Day School; Nevada Agency Training School; Pyramid Lake Highschool,NV,200,1878 - Open,,"Alaskan; Cayuse, Liksiyu; Hupa, Hoopa; Klamath; Nooksack; Paiute Shoshone; Paiute, Pi-Ute; Puyallup; Pyramid Lake Paiute; Shoshone, Shoshoni, Snake; Washoe, Washo",5,0,,
Otoe Boarding School,Oto Boarding School; Otoe Missouria Indian Mission School,OK,339,1880 - 1919,Quaker,Otoe,5,1,,
Red Cloud Indian School,Holy Rosary Mission; Holy Rosary Mission Boarding School; Holy Rosary Mission School,SD,381,1888 - Open,Catholic; Jesuit,Lakota; Oglala Sioux from Pine Ridge,5,0,,3 onsite
Woody Island Mission and Orphanage,Woody Island Mission and Orphanage,AK,3,1893 - 1937 | 1937 - 1939,Baptist,Alaskan,5,0,"1 offsite, 1 onsite",
Lower Brule Industrial Boarding School,Lower Brule Boarding and Day School; Lower Brule Day School; Lower Brule Schools; Lower Brule Elementary School*; Lower Brule Jr. High*; Lower Brule High School*,SD,376,1882 - 1895 | 1895 - Open,,Lower Brule Sioux,5,0,,
Perris Indian School,,CA,77,1891 - 1904,,"Mission Indians, California",4,0,1 onsite,
Nez Perce Boarding School,yet identified,ID,109,1868 - 1892,Presbyterian,"Nez Perce, Idaho",4,0,,1 onsite
Kickapoo Boarding School,Kickapoo Industrial School; Kickapoo Training School; Kickapoo Rising Mission School; Kickapoo Day School,KS,130,1871 - 1931,Board of Foreign Missions of the Presbyterian Church; Religious Society of Friends,"Kickapoo, Kiikaapoa, Kiikaapoi; Potawatomi, Potawatomie, Pottawatomie, Potowatomi",4,1,,
St. John's Indian Industrial School,St. John Abbey; College of St. John's; Saint John's University,MN,155,1885 - 1896,Order of Saint Benedict,Chippewa,4,0,1 onsite,
Wapanucka Institute,"Wapanucka Academy; Allen Academy; Wahpanucka Institute; Chickasaw Rock Academy;
Wapanucka Female Manual Labour School; Rock Academy",OK,300,1851 - 1910,Presbyterian,"Chickasaw, Chikashsha; Choctaw of Oklahoma, Choctaw Nation",4,0,,
Old Goodland Indian Orphanage,Goodland Academy and Indian Orphanage; Old Goodland Indian Orphan Industrial School; Old Goodland Boarding School; Goodland Academy*,OK,324,1848 - Open,Presbyterian,"Chickasaw, Chikashsha; Choctaw of Oklahoma, Choctaw Nation",4,0,,
Tullahassee Boarding School,"Tullahassee Mission School; Tullahassee Manual Labor School; Tallahasse Mission Boarding
for Freedmen; Presbyterian Manual Labor School",OK,331,1846 - 1924,Presbyterian Mission Board,"Cherokee; Creek Freedmen; Creek, Muscogee, Mvskoke",4,0,,
Euchee Boarding School,Yuchi Boarding School,OK,337,1894 - 1948,,"Cherokee; Chickasaw, Chikashsha; Choctaw; Creek, Muscogee, Mvskoke; Navajo, Navaho, Dine; Seminole; Seminole, Oklahoma; Yuchi, Euchee",4,1,1 offsite,
Sisseton Agency Boarding and Day School,Sisseton Training School; Sisseton Industrial School; Sisseton Manual Labor Boarding School,SD,367,1872 - 1920,,Sisseton Wahpeton Oyate Sioux,4,0,,
Tulalip Mission School,"St. Anne's Catholic Mission School; Tulalip Mission School of Our Lady of Seven Dolors;
Tulalip Boarding School",WA,407,1857 - 1902,Catholic,"Lummi; Muckleshoot; Port Madison, Suquamish; Skagit; Swinomish; Tulalip",4,0,,
Wind River Boarding School,"Wind River Industrial Boarding School; Fort Washakie Boarding School; Shoshone Agency
Boarding School; Gravy High; Fort Washakie School District #21*; Shoshoni",WY,434,1883 - Open,Episcopal,"Arapaho, Arapahoe; Cheyenne; Chippewa; Chippewa from Rocky Boys, Montana; Cree; Cree from Rocky Boys, Montana; Eastern Shoshone from Wind River, Wyoming; Northern Arapaho from Wind River, Wyoming; Northern Cheyenne, Montana; Shoshone, Shoshoni, Snake; Ute; Ute Indian Tribe of the Uintah and Ouray; White Earth Band Chippewa",4,4,1 offsite,
Crow Agency Boarding School,Crow Agency Public School; Crow Boarding School,MT,173,1873 - 1883 | 1883 - 1922,,"Crow, Absaroka",4,1,,
Winnebago Mission School,Yellow River School; Turkey River School,IA,120,1835 - 1840 | 1842 - 1848,Presbyterian,"Ho-Chunk, Winnebago",4,4,,
"Kanakanak Hospital, Orphanage, and School",,AK,12,1910 - 1939,,Alaskan,3,3,,
Iowa and Sac and Fox Indian Mission,"Iowa and Sac Mission; Orphan Indian Institute; Iowa, Sac, and Fox Presbyterian Mission;
Highland Presbyterian Mission",KS,121,1846 - 1868,Presbyterian,"Iowa, Ioway, Bah-Kho-Je, Baxoje; Sac and Fox of Missouri in Kansas and Nebraska",3,0,,
Bismarck Indian School,Mandan Indian School; Bismarck Boarding School; Blamarck School,ND,264,1908 - 1938,,"Arikara, Arickaree, Arikaree; Assiniboine; Blackfeet, Blackfoot; Cheyenne; Cheyenne River Sioux; Chippewa; Crow Creek Sioux; Crow, Absaroka; Dakota from Upper Sioux; Flathead Indians; Gros Ventre, Aaniiih; Ho-Chunk, Winnebago; Lac du Flambeau Band, Lake Superior Chippewa; Mandan, Mantannes, Mayadana; Menominee, Menomini, Mamaceqtaw; Northern Cheyenne, Montana; Piegan, Peigan, Pikuni, Piikuni; Rosebud Sioux; Sioux; Sisseton Wahpeton Oyate Sioux; Standing Rock Sioux; Three Affiliated Tribes of Fort Berthold, Mandan, Hidatsa, Arikara; Turtle Mountain Band of Chippewa; Yakama, Yakima; Yankton Sioux, Yanktonai",3,0,,
St. Mary's Indian Industrial School,St. Mary School at Turtle Mountain; St. Mary's (Turtle Mountain); Devil's Lake - Turtle Mountain (St. Mary's); St. Mary's Mission Boarding; St. Marie's Boarding School,ND,267,1884 - 1910,Catholic; Sisters of Mercy,Chippewa,3,0,1 onsite,
Bloomfield Female Academy,Bloomfield Female Seminary; Bloomfield Academy for Girls,OK,284,1853 - 1914,Methodist,"Cherokee; Chickasaw, Chikashsha; Choctaw; Creek, Muscogee, Mvskoke; Five Tribes, Five Civilized Tribes; Kalapuya, Calapuya",3,0,,
Cheyenne Manual Labor and Boarding School,Cheyenne Industrial School; Cheyenne Boarding School,OK,287,1879 - 1909,Quaker,Cheyenne,3,3,,
Chickasaw Manual Labor Academy,"Chickasaw Male Academy; Chickasaw Manual Labor Academy; McKendree Academy;
Chickasaw Manual Labor Academy for Boys; Harley Institute; Harley Academy; Robinson
Academy",OK,288,1850 - 1910,United Methodist Episcopal Church,"Chickasaw, Chikashsha; Five Tribes, Five Civilized Tribes",3,0,,
Kaw Boarding School,Kaw Training School; Kaw Industrial-school;,OK,303,1874 - 1912,,"Kaw, Kansa, Kanza, Kanzas, Kansas",3,0,,
Ponca Boarding School,Ponca Industrial Boarding School,OK,307,1882 - 1919,,"Arapaho, Arapahoe; Ponca",3,3,,
Fort Sill Indian School,Kiowa and Comanche School; Josiah Missionary School,OK,338,1871 - 1980,Quaker; Religious Society of Friends,"Apache; Arapaho, Arapahoe; Caddo; Cherokee; Cheyenne; Choctaw; Comanche; Delaware, Lenni Lenape; Kiowa; Kiowa Apache, Plains Apache; Navajo, Navaho, Dine; Otoe; Seneca; Sioux; Wichita, Kitikiti'sh; Wyandot, Wyandotte",3,1,,
Wealaka Boarding School,,OK,345,1882 - 1935,Presbyterian,"Creek, Muscogee, Mvskoke",3,0,,
Rosebud Agency Boarding and Day School,Rosebud Community,SD,366,1897 - 1951,,"Leech Lake Band Chippewa, Minnesota; Rosebud Sioux; Sioux",3,3,,
Intermountain Indian School,Bushnell Hospital; Intermountain Inter-Tribal School,UT,398,1950 - 1984,,"Navajo, Navaho, Dine; Tohono O'odham, Papago",3,3,,
Panguitch Boarding School,Southern Utah Boarding School; Orton Boarding School,AK,399,1904 - 1909,,"Paiute, Pi-Ute",3,1,,1 onsite
St. Stephen's Mission Industrial School,St. Stephens' Indian School,WY,433,1888 - Open,Catholic; Catholic Bureau of Indian Missions; Sisters of St. Francis; Society of Jesus,"Arapaho, Arapahoe; Shoshone, Shoshoni, Snake",3,0,1 onsite,
Jesse Lee Home for Children,Fort Raymond; Alaska Children's Services; AK Child and Family*,AK,10,1890 - 1925 | 1926 - 1964 | 1966 - 1970,Baptist; Evangelical Lutheran; Methodist,Alaskan,3,0,1 offsite,1 offsite
St. Mary Mission School,"St. Mary Mission, School and Church of the Nativity; St. Joseph's Mission",AK,16,1898 - 1951 | 1951 - 1987,Catholic; Jesuit; Roman Catholic; Ursuline Order of Nuns,Alaskan,3,0,,
Rice Station Boarding and Day School,Rice Indian School; Rice Station Day School,AZ,68,1900 - 1941,,Apache; Kiowa; San Carlos Apache,2,2,,1 onsite
Lemhi Boarding School,Lemhi Boarding School Girls Dormitory,ID,111,1872 - 1907,,"Shoshone, Shoshoni, Snake",2,0,,
Leech Lake Indian Boarding School,,MN,145,1867 - 1921,American Missionary Association,Chippewa,2,0,,
White Earth Boarding School,,MN,148,1871 - 1921,,Chippewa,2,0,,
Tongue River Boarding School,Government School at Busby; Busby Indian School,MT,178,1904 - 1979,,"Cheyenne; Chippewa; Cree; Crow, Absaroka; Northern Cheyenne, Montana; Sioux",2,2,1 offsite,
Willow Creek Boarding School,Old Willow Creek Indian School; Blackfeet School at Willow Creek,MT,179,1892 - 1909,,"Piegan, Peigan, Pikuni, Piikuni",2,0,,1 onsite
St. Paul Mission and Boarding School,St. Paul Mission Grade School,MT,183,1880 - 2021,Catholic,"Assiniboine; Gros Ventre, Aaniiih",2,0,1 onsite,
St. Ignatius Mission and School,"St. Ignatius Industrial School; Academy of the Holy Family for Young Ladies; Flathead
Agency Boy's Boarding School; Flathead Agency Girls' Boarding School",MT,188,1863 - 1973,Catholic; Jesuit; Sisters of Providence; Society of Jesus; Ursuline Order of Nuns,"Blackfeet, Blackfoot; Colville; Cree; Flathead Indians; Kalispel; Kootenai from Flathead, Montana; Kootenai, Ktunaxa, Kutenai, Kootenay, Ksanka; Nez Perce from Colville; Pend d'Oreille, Upper Kalispel; Piegan, Peigan, Pikuni, Piikuni; Spokane from Flathead",2,0,1 offsite,
Santee Industrial School,Santee and Flandreau Boarding School; Santee Agency Boarding and Day School,NE,190,1874 - 1909,,Flandreau Santee Sioux; Ponca; Santee Sioux,2,0,,
Otoe Missouria Indian Mission School,Ottoe and Omaha Mission School,NE,196,1835 - 1881,Presbyterian,"Omaha; Otoe; Pawnee; Sac and Fox of the Mississippi in Iowa; Sac, Sauk",2,1,,
Cherokee Male Seminary,,OK,279,1851 - 1910,,Cherokee,2,0,,
Carter Seminary,Bloomfield Female Seminary; Carter Seminary Ardmore,OK,314,1917 - 2000,,"Cherokee; Chickasaw, Chikashsha; Choctaw; Comanche",2,1,,
Wetumka Boarding School,Creek National Boarding School; Levering Manual Labor Boarding; Leavering Mission,OK,346,1881 - 1910,Southern Baptist Convention,"Creek, Muscogee, Mvskoke",2,0,,1 onsite
Kate Drexel Mission Boarding School,St. Andrew Mission School; St. Andrew (Kate Drexel),OR,348,1887 - 1937,Catholic,"Cayuse, Liksiyu; Umatilla; Walla Walla, Wallawalla; Walla Walla, Wallawalla from Umatilla; Yakama, Yakima",2,1,1 onsite,
Grand Ronde Boarding School,Manual Training School at Grand Ronde; Grand Ronde Agency Schoolhouse,OR,354,1862 - 1908,Catholic; Sisters of the Holy Names of Jesus and Mary,"Grand Ronde Tribes, Oregon",2,0,,
Crow Creek Agency Boarding School,"Crow Creek Industrial Boarding School; Lower Yanctonai, Lower Yanktonai Mission Boarding School; Fort Thompson Community School; Fort Thompson Indian School; Fort
Thompson Vocational Boarding and Day School; Victory No. 8 School District",SD,372,1874 - 1924,Episcopal,"Crow Creek Sioux; Yankton Sioux, Yanktonai",2,0,,1 onsite
Good Shepherd Industrial School,"Home of the Good Shepherd for Homeless Girls; E. M. Byers Home for Boys; Good Shepherd
School, Good Shepherd Boarding",CO,419,1885 - 1891,Catholic,Chippewa,0,0,,
Flathead Agency Boarding and Day School,yet identified,MT,437,1900 - 1915,,"Flathead Indians; Kalispel; Kootenai from Flathead, Montana; Pend d'Oreille, Upper Kalispel; Piegan, Peigan, Pikuni, Piikuni; Snake Indians; Spokane",2,2,,
Industrial and Reformatory School,"Koolau Boys' Home (Kawailoa); Waialee Training School for Boys; Olomana School; Hawaii
Youth Correctional Facility*",HI,97,1864 - 1903 | 1903 - 1950 | 1950 - Open,,Native Hawaiian,2,0,,
Eklutna Industrial School,,AK,6,1924 - 1946,,Alaskan,1,1,,
Holy Cross Boarding School,"Kosoreffsky; Anilukhtakpak; Askhomute; Koserefsky; Holy Cross Mission; Holy Cross
Boarding and Day School and Orphanage",AK,9,1888 - 1956,American Board of Commissioners for Foreign Missions (ABCFM); Presbyterian; Roman Catholic,Alaskan,1,0,,
St. Mark's Episcopal Mission School,St. Mark's Church; Skagway,AK,15,1907 - 1955,Episcopal,Alaskan,1,0,1 offsite,
Mt. Edgecumbe Boarding School,Mount Edgecumbe; Mt. Edgecumbe High School*,AK,25,1947 - Open,,"Alaskan; Athabascan, Athapascan, Dene, Dena, Tinne, Tinneh",1,0,1 offsite,
Kayenta Indian School,Kayenta Day School; Kayenta Community School,AZ,47,1935 - Open,,"Navajo, Navaho, Dine",1,0,1 offsite,
Santa Rosa Boarding School,Santa Rosa Day School,AZ,70,1916 - Open,,"Cherokee; Pima; San Carlos Apache; Tohono O'odham, Papago",1,1,,
Toledo Industrial Boarding School,"Toledo Sanatorium; Sac & Fox, Sauk and Fox Indian Boarding and Mission School; Sac and
Fox Sanatorium; Tama School; Tama Sanatorium",IA,118,1898 - 1942,,"Bois Forte Band Chippewa, Nett Lake, Minnesota; Chippewa; Fond du Lac Band Chippewa, Minnesota; Leech Lake Band Chippewa, Minnesota; Menominee, Menomini, Mamaceqtaw; Meskwaki, Mesquaki, Fox, Renard; Sac and Fox; White Earth Band Chippewa",1,1,,
Charity Hall Mission School,,MS,164,1820 - 1831,Cumberland Missionary Board,"Chickasaw, Chikashsha",1,0,,
Harmony Mission School,Osage Indian School and Trading Post; Osage Mission,MO,170,1821 - 1836,American Board of Commissioners for Foreign Missions (ABCFM),Osage,1,0,,1 onsite
St. Peter Mission School,,MT,184,1866 - 1912,Catholic,"Assiniboine; Cree; Gros Ventre, Aaniiih; Kainah, Kainai, Akainiwa, Blood; Piegan, Peigan, Pikuni, Piikuni; Sioux; Snake Indians",1,0,,1 onsite
Omaha Indian School,Omaha Boarding and Day School; Omaha Industrial School,NE,194,1873 - 1906,,Omaha,1,0,,
Western Shoshone Boarding School,Western Shoshoni School,NV,202,1880 - 1917,,"Hopi, Moqui Pueblo; Paiute Shoshone; Paiute, Pi-Ute",1,0,,
Baca Boarding and Day School,"Baca Community School; Baca/Thoreau (Dlo'Ay Azhi) Community School; Baca/Dlo'Ay
Azhi Consolidated Community School; Baca/Dlo'Ay Azhi Community School*",NM,203,1935 - Open,,"Navajo, Navaho, Dine; Pueblo of Taos, Tuah-Tah",1,1,,
Mariano Lake Boarding School,Mariano Lake Community School*,NM,210,1935 - Open,,"Navajo, Navaho, Dine",1,1,,
Ramona Indian School,"Ramona Indian Girls School; Ramona Industrial School for Indian Girls; Ramona Boarding
School; Ramona School; University of New Mexico",NM,234,1885 - 1896,Congregational Church,Jicarilla Apache; Mescalero Apache,1,0,,
Torreon Community School,Torreon Day School; Torreon School; Na'Neelzhiin Ji'Olta*,NM,247,1935 - Open,,"Navajo, Navaho, Dine",1,1,,
St. Louis School for Osage Indian Girls,St. Louis Academy; St. Louis's School; St. Louis Mission Boarding School,OK,310,1887 - 1949,Catholic,Osage,1,0,1 offsite,
St. Francis Indian Mission School,St. Francis Indian School,SD,370,1886 - Open,Catholic,Rosebud Sioux,1,0,1 onsite,
Chamberlain Indian School,,SD,371,1898 - 1909,,"Chippewa; Ho-Chunk, Winnebago; Omaha; Sioux",1,1,,
Oahe Boarding School,Oahe Industrial School; Oahe Indian Mission School; Peoria Bottoms School,SD,378,1874 - 1914,American Missionary Association,"Lakota; Sac and Fox of the Mississippi in Iowa; Sihasapa, Blackfoot, Titonwan, Teton, Western Sioux",1,0,,
St. John's School for Girls,St. John's William Welsh Memorial School; St. John's Boarding School; St. John's Mission,SD,382,1874 - 1903,Protestant Episcopal,"Blackfeet, Blackfoot; Cheyenne River Sioux; Miniconjou, Minnekonjou; Sans Arc Sioux; Santee Sioux; Two Kettle Sioux",1,0,,
Immaculate Conception Mission School,Stephan Mission School; Crow Creek Reservation High School*,SD,388,1886 - 1961,Catholic,Crow Creek Sioux; Lower Brule Sioux,1,0,1 onsite,
Aneth Boarding and Day School,Aneth Community School*,UT,394,1935 - Open,,"Cherokee; Navajo, Navaho, Dine",1,1,,
Castleton Academy,Castleton University,VT,401,1828 - Open,,"Passamaquoddy, Maine",1,0,,
Tonasket Boarding School,Okanagan Boarding School,WA,405,1891 - 1897,,Colville,1,0,,
St. George Indian Residential School,"St. George's Mission School; St. George's Industrial School; St. George's Boarding School; St.
George's Catholic Boarding School",WA,410,1888 - 1936,Catholic; Sisters of St. Francis,"Arapaho, Arapahoe; Bay Mills, Chippewa; Chehalis; Cherokee; Chippewa; Colville from Colville; Cowlitz; Crow Creek Sioux; Flathead Indians; Gros Ventre, Aaniiih; Lummi; Makah, Ozette Makah; Muckleshoot; Nisqually, Nisqualli; Pawnee; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Puyallup; Quileute; Quinault, Quinaielt; Sauk- Suiattle; Sioux; Skagit; S'klallam, Klallam, Clallam; Skokomish; Snohomish; Snoqualmie; Squaxin Island, Squaxon; Suquamish; Swinomish; Tilamook, Nekelim, Siletz from Siletz; Tlingit, Tlinkit; Tsimshian; Tulalip; Yakama, Yakima",1,0,,"1 offsite, 1 onsite"
St. Joseph Industrial School,Menominee (St. Joseph's); St. Joseph's Boarding; Green Bay,WI,425,1883 - 1980,Catholic; Sisters of St. Joseph,"Menominee, Menomini, Mamaceqtaw",1,1,1 offsite,
St. Pius X Mission Home,Pius Tenth Mission; St. Pius X Mission Boarding School,AK,436,1932 - 1959,Jesuit; Sisters of St. Ann,Alaskan,1,0,1 offsite,
Asbury Manual Labor School and Mission,Fort Mitchell,AL,1,1822 - 1834,Methodist; United Methodist Episcopal Church,"Creek, Muscogee, Mvskoke; Five Tribes, Five Civilized Tribes",0,0,,1 onsite
Kodiak Aleutian Regional High School,"Kodiak Island Borough School District, Kodiak High School*",AK,2,1967 - Open,,"Alaskan; Aleut, Unangan",0,0,,
Anvik Mission,Christ Church Mission,AK,5,1892 - 1969,Episcopal,Alaskan,0,0,,1 onsite
First Mission House,Bethel Indian School,AK,7,1883 - 1945,Moravian,"Yupik, Yup'ik, Yupic",0,0,,
Fort Wrangell Tlingit Industrial School,Fort Wrangel Thlinkit Academy; Fort Wrangle Training School; Tlingit Training Academy,AK,8,1883 - 1888,Presbyterian,Alaskan,0,0,,
Nunapitsinghak Moravian Children's Home,,AK,13,1926 - 1973,Moravian,Alaskan,0,0,,
Seward Sanitarium,,AK,14,1940 - 1950,,Alaskan,0,0,,
White Mountain Boarding School,White Mountain Industrial School,AK,18,1917 - 1953,,Alaskan; Rosebud Sioux,0,0,,
William E. Beltz Boarding School,Anvil City Science Academy; Nome-Beltz Middle High School*,AK,19,1966 - Open,,Eskimo,0,0,,
Wrangell Institute,Shoemaker Bay Industrial School,AK,20,1932 - 1975,,Alaskan,0,0,,
Copper Valley Boarding School,,AZ,21,1956 - 1971,Catholic; Jesuit,Alaskan,0,0,,
Douglas Island Friends Mission School,,AK,22,1892 - 1902,Quaker; Religious Society of Friends,"Tlingit, Tlinkit",0,0,,
Friends High School,Kotzebue Friends High School; Kotzebue Friends School,AK,23,1887 - 1910,Quaker; Religious Society of Friends,Alaskan,0,0,,
Dennehotso Boarding School,Dennehotso Boarding School*; Dennehotso Day School,AZ,29,1935 - Open,,"Navajo, Navaho, Dine",0,0,,
Ganado Navajo Presbyterian Mission School,"Kirkwood Memorial Training School; Ganado Mission School; Ganado Boarding School;
Ganado Mission High School; Sage Memorial Hospital School of Nursing; College of Ganado",AZ,31,1902 - 1951,Presbyterian; Women's Board of Home Missions of the Presbyterian Church,"Hopi from Colorado River; Navajo, Navaho, Dine",0,0,,
Greasewood Boarding School,"Greasewood School; Greasewood Toyei Consolidated Boarding School; Greasewood Springs
Boarding and Day School; Greasewood Springs Community School*",AZ,32,,,"Navajo, Navaho, Dine",0,0,,
Hunters Point Boarding School,Hunter's Point Indian School,AZ,33,,,"Navajo, Navaho, Dine",0,0,,
Kinlichee Indian School,Kinlichee Day School; Kin Dah Lichi'i Olta,AZ,34,,,"Navajo, Navaho, Dine",0,0,,
Klagetoh Boarding and Day School,,AZ,35,1932 - 1966,,"Navajo, Navaho, Dine",0,0,,
Lukachukai Boarding and Day School,Luki Chuki Day School; Lukachukai Community School*,AZ,36,1936 - Open,,"Navajo, Navaho, Dine",0,0,,
Many Farms Community School,,AZ,37,,,"Navajo, Navaho, Dine",0,0,,
Many Farms High School,,AZ,38,1969 - Open,,"Navajo, Navaho, Dine",0,0,,
Pine Springs Boarding School,Pine Springs Day School*,AZ,39,1930 - Open,,"Navajo, Navaho, Dine",0,0,,
Red Rock Boarding School,Rock Day School*,AZ,40,1932 - Open,,"Navajo, Navaho, Dine",0,0,,
Rock Point Boarding and Day School,Tsé Nitsaa Deez’áhí Diné Bi’ólta'; Rock Point Community School*,AZ,41,,,"Navajo, Navaho, Dine",0,0,,
Teec Nos Pos Boarding School,Teecnospos; Teec Nos Pos Day School; T'iis Nazbas Community School*,AZ,42,1933 - Open,,"Navajo, Navaho, Dine",0,0,,
Toyei Boarding School,Toyei Navajo School; Greasewood/Toyei Consolidated Boarding School,AZ,43,1963 - 1985,,"Navajo, Navaho, Dine",0,0,,
Wide Ruins Boarding School,Kinteel Olta'; Wide Ruins Community School*,AZ,44,,,"Navajo, Navaho, Dine",0,0,,
Dilcon Boarding School,Dilcon Community School*,AZ,45,1953 - Open,,"Navajo, Navaho, Dine",0,0,,
Low Mountain Boarding School,Low Mountain Boarding School; Low Mountain Day School,AZ,49,1953 - 2007,,"Navajo, Navaho, Dine",0,0,,
Marsh Pass School,"Marsh Pass Indian Boarding School; Kayenta Tuberculosis Sanatorium; Kayenta TB
Sanatorium; Kayenta Sanatorium",AZ,50,1913 - 1930,,"Navajo, Navaho, Dine",0,0,,
Pinon Boarding School,Pinon Dormitory; Pinon Day School; Pinon Community School,AZ,51,1935 - Open,,"Navajo, Navaho, Dine",0,0,,
Rocky Ridge Boarding School,Rocky Ridge Day and Boarding School,AZ,52,1968 - Open,,"Navajo, Navaho, Dine",0,0,,
Seba Dalkai Boarding School,Seba Dalkai Day School; Seba Dalkai School,AZ,53,1935 - Open,,"Navajo, Navaho, Dine",0,0,,
Shonto Boarding School,Shonto Indian School; Shonto Day School; Shonto Preparatory School*,AZ,54,1933 - Open,,"Navajo, Navaho, Dine",0,0,,
Blue Canyon School,"Blue Canyon Boarding and Day School; Blue Canon; Western Navajo or Navaho Training
School; Western Navajo or Navaho Boarding School; Western Navajo or Navaho Industrial
School",AZ,56,1899 - 1901,,"Hopi, Moqui Pueblo; Navajo, Navaho, Dine; Paiute, Pi-Ute",0,0,,
Havasupai Boarding and Day School,Havasupai Indian School; Havasupai Elementary School*,AZ,57,1900 - Open,,"Havasupai, Yava Supai",0,0,,
Kaibeto Boarding School,Kaibeto Day School,AZ,58,1935 - Open,,"Navajo, Navaho, Dine",0,0,,
Tolani Lake School,,AZ,60,1940 - 1963,,"Navajo, Navaho, Dine",0,0,,
"Navajo Mountain Boarding and Day School, AZ",Navajo Mountain Community School; NaaTsis' Aan Community School*,AZ,63,1935 - Open,,"Navajo, Navaho, Dine",0,0,,
Nazlini Boarding School,"Nazlini Community School, Inc.",AZ,64,1952 - Open,,"Navajo, Navaho, Dine",0,0,,
Rough Rock Demonstration School,Rough Rock Day School; Rough Rock Community School*,AZ,65,1935 - Open,,"Navajo, Navaho, Dine",0,0,,
Steamboat Canyon Boarding and Day School,,AZ,66,1935 - 1965,,"Navajo, Navaho, Dine",0,0,,
Dwight Presbyterian Mission School,Dwight Mission,AR,76,1822 - 1829,American Board of Commissioners for Foreign Missions (ABCFM),Cherokee,0,0,,
St. Boniface Indian School,St. Boniface Industrial School; Saint Boniface Mission Boarding School; Banning School,CA,79,1890 - 1974,Catholic,Morongo Band of Mission Indians,0,0,,1 onsite
Middletown Training School,,CA,80,1885 - 1887,,Tule River,0,0,,
St. Turibius Mission Boarding and Day School,Kelseyville School; St. Turbius Boarding School,CA,81,1888 - 1905,Catholic,Pomo,0,0,,
Anaheim Boarding School,,CA,82,1885 - 1885,,"Mission Indians, California",0,0,,
Round Valley Boarding School,,CA,87,1860 - 1924,,"Concow, Round Valley; Little Lake; Pit River; Redwood Valley, Pomo; Round Valley; Wailaki, Round Valley; Yukiah, Yuki, Ukiah",0,0,,1 offsite
St. Anthony's Industrial School for Indians,"San Diego Industrial Training School; San Diego Industrial Boarding School; St. Anthony's
School at Mission de Alcalá; St. Anthony's School at Old Town",CA,88,1886 - 1908,Catholic,Kumeyaay; Luiseno,0,0,,
Good Shepherd Industrial School,House of the Good Shepherd,WI,91,1878 - 1978,Catholic,Chippewa,2,2,,
St. Augustine School for Apache Children at Fort Marian,St. Augustine Day School; Fort Marion; Castillo de San Marcos,FL,94,1886 - 1887,,"Apache; Plains Indian Tribes; Seminole, Florida",0,0,,"1 offsite, 1 onsite"
High Tower Mission School,Etowah Mission School; Etonee School,GA,95,1823 - 1834,American Board of Commissioners for Foreign Missions (ABCFM),Cherokee,0,0,,
Spring Place Mission School,Springplace Morovian Mission School; Spring-place,GA,96,1801 - 1834,United Brethren in Christ,Cherokee,0,0,,1 onsite
Hilo Boarding School,,HI,102,1836 - 1972,American Board of Commissioners for Foreign Missions (ABCFM); Congregational Church,Native Hawaiian,0,0,,1 offsite
Kamehameha Schools,Bishop School,HI,104,1887 - Open,Protestant,Native Hawaiian,0,0,,
Lahainaluna Seminary,Lahainaluna High School; Lahainaluna Trade School,HI,105,1831 - Open,Protestant American Board of Missions,Native Hawaiian,0,0,,1 onsite
Mauna Loa Forestry Camp School,,HI,106,1952 -1953,,Native Hawaiian,0,0,,
Molokai Forestry Camp School,,HI,107,1953 - 1967,,Native Hawaiian,0,0,,
Mary Immaculate School at the Mission of the Sacred Heart of DeSmet,"Sisters Building; DeSmet, De Smet Industrial Boys School",ID,112,1878 - 1974,Catholic; Jesuit; Sisters of Providence,Coeur D'Alene,0,0,1 onsite,
Homewood Boarding School,Jubilee College,IL,114,1883 - 1888,Episcopal,White Earth Band Chippewa,0,0,,
St. Joseph's Indian Normal School,St. Joseph's College,IN,116,1888 - 1896,Catholic,Sioux,0,0,,
White's Manual Labor Institute - Iowa,"Iowa Boys Training School; Iowa Girls Training School; Indian Boarding School and Home
for Boys and Girls",IA,119,1851 - 1929,Quaker,"Cheyenne; Ho-Chunk, Winnebago; Kaw, Kansa, Kanza, Kanzas, Kansas; Omaha; Osage; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Sac and Fox",0,0,,
Iowa and Sac and Fox of Missouri Boarding,"Great Nemaha Boarding and Day School; Great Nemaha Industrial Orphan's Home; Great
Nemaha Indian School",KS,122,1871 - 1873,,"Iowa, Ioway, Bah-Kho-Je, Baxoje; Sac and Fox of Missouri in Kansas and Nebraska",0,0,,
Halstead Mennonite Mission Boarding School,"Halstead Seminary; Halstead Indian Industrial School; Mennonite Orphan Home; Halstead
Fortbildungs-Schule",KS,125,1880- 1898,Mennonite,"Arapaho, Arapahoe; Cheyenne",0,0,,
